Symbol,Index,Confidence,Company Name,Compnay Description,Category,Sub-category,Country
THFF,,50,First Financial Corporation,,Financial,Banks - Regional,USA
TMP,,50,Tompkins Financial Corporation,,Financial,Banks - Regional,USA
TOWN,,50,TowneBank,,Financial,Banks - Regional,USA
TRMK,,50,Trustmark Corporation,,Financial,Banks - Regional,USA
TRST,,50,TrustCo Bank Corp NY,,Financial,Banks - Regional,USA
TSBK,,50,"Timberland Bancorp, Inc.",,Financial,Banks - Regional,USA
TSC,,50,"TriState Capital Holdings, Inc.",,Financial,Banks - Regional,USA
UBCP,,50,"United Bancorp, Inc.",,Financial,Banks - Regional,USA
UBFO,,50,United Security Bancshares,,Financial,Banks - Regional,USA
UBOH,,50,"United Bancshares, Inc.",,Financial,Banks - Regional,USA
UBSI,,50,"United Bankshares, Inc.",,Financial,Banks - Regional,USA
UCBI,,50,"United Community Banks, Inc.",,Financial,Banks - Regional,USA
UMBF,,50,UMB Financial Corporation,,Financial,Banks - Regional,USA
UMPQ,,50,Umpqua Holdings Corporation,,Financial,Banks - Regional,USA
UNB,,50,"Union Bankshares, Inc.",,Financial,Banks - Regional,USA
UNTY,,50,"Unity Bancorp, Inc.",,Financial,Banks - Regional,USA
USB,SP500,50,U.S. Bancorp,,Financial,Banks - Regional,USA
UVSP,,50,Univest Financial Corporation,,Financial,Banks - Regional,USA
VBFC,,50,Village Bank and Trust Financial Corp.,,Financial,Banks - Regional,USA
VBNK,,50,VersaBank,,Financial,Banks - Regional,Canada
VBTX,,50,"Veritex Holdings, Inc.",,Financial,Banks - Regional,USA
VLY,,50,Valley National Bancorp,,Financial,Banks - Regional,USA
WABC,,50,Westamerica Bancorporation,,Financial,Banks - Regional,USA
WAFD,,50,"Washington Federal, Inc.",,Financial,Banks - Regional,USA
WAL,,50,Western Alliance Bancorporation,,Financial,Banks - Regional,USA
WASH,,50,"Washington Trust Bancorp, Inc.",,Financial,Banks - Regional,USA
WBS,,50,Webster Financial Corporation,,Financial,Banks - Regional,USA
WF,,50,Woori Financial Group Inc.,,Financial,Banks - Regional,South Korea
WMPN,,50,William Penn Bancorporation,,Financial,Banks - Regional,USA
WNEB,,50,"Western New England Bancorp, Inc.",,Financial,Banks - Regional,USA
WSBC,,50,"WesBanco, Inc.",,Financial,Banks - Regional,USA
WSBF,,50,"Waterstone Financial, Inc.",,Financial,Banks - Regional,USA
WSFS,,50,WSFS Financial Corporation,,Financial,Banks - Regional,USA
WTBA,,50,"West Bancorporation, Inc.",,Financial,Banks - Regional,USA
WTFC,,50,Wintrust Financial Corporation,,Financial,Banks - Regional,USA
WVFC,,50,WVS Financial Corp.,,Financial,Banks - Regional,USA
ZION,SP500,50,"Zions Bancorporation, National Association",,Financial,Banks - Regional,USA
AAIC,,50,Arlington Asset Investment Corp.,,Real Estate,REIT - Mortgage,
ABR,,50,"Arbor Realty Trust, Inc.",,Real Estate,REIT - Mortgage,
ACR,,50,ACRES Commercial Realty Corp.,,Real Estate,REIT - Mortgage,
ACRE,,50,Ares Commercial Real Estate Corporation,,Real Estate,REIT - Mortgage,
AGNC,,50,AGNC Investment Corp.,,Real Estate,REIT - Mortgage,
AJX,,50,Great Ajax Corp.,,Real Estate,REIT - Mortgage,
AOMR,,50,"Angel Oak Mortgage, Inc.",,Real Estate,REIT - Mortgage,
ARI,,50,"Apollo Commercial Real Estate Finance, Inc.",,Real Estate,REIT - Mortgage,
ARR,,50,"ARMOUR Residential REIT, Inc.",,Real Estate,REIT - Mortgage,
BRMK,,50,Broadmark Realty Capital Inc.,,Real Estate,REIT - Mortgage,
BXMT,,50,"Blackstone Mortgage Trust, Inc.",,Real Estate,REIT - Mortgage,
CHMI,,50,Cherry Hill Mortgage Investment Corporation,,Real Estate,REIT - Mortgage,
CIM,,50,Chimera Investment Corporation,,Real Estate,REIT - Mortgage,
CMTG,,50,"Claros Mortgage Trust, Inc.",,Real Estate,REIT - Mortgage,
DX,,50,"Dynex Capital, Inc.",,Real Estate,REIT - Mortgage,
EARN,,50,Ellington Residential Mortgage REIT,,Real Estate,REIT - Mortgage,
FBRT,,50,"Franklin BSP Realty Trust, Inc.",,Real Estate,REIT - Mortgage,
GPMT,,50,Granite Point Mortgage Trust Inc.,,Real Estate,REIT - Mortgage,
IVR,,50,Invesco Mortgage Capital Inc.,,Real Estate,REIT - Mortgage,
KREF,,50,KKR Real Estate Finance Trust Inc.,,Real Estate,REIT - Mortgage,
LADR,,50,Ladder Capital Corp,,Real Estate,REIT - Mortgage,
LFT,,50,"Lument Finance Trust, Inc.",,Real Estate,REIT - Mortgage,
LOAN,,50,"Manhattan Bridge Capital, Inc.",,Real Estate,REIT - Mortgage,
MFA,,50,"MFA Financial, Inc.",,Real Estate,REIT - Mortgage,
MITT,,50,"AG Mortgage Investment Trust, Inc.",,Real Estate,REIT - Mortgage,
NLY,,50,"Annaly Capital Management, Inc.",,Real Estate,REIT - Mortgage,
NRZ,,50,New Residential Investment Corp.,,Real Estate,REIT - Mortgage,
NYMT,,50,"New York Mortgage Trust, Inc.",,Real Estate,REIT - Mortgage,
NYMTL,,50,"New York Mortgage Trust, Inc.",,Real Estate,REIT - Mortgage,
NYMTZ,,50,"New York Mortgage Trust, Inc.",,Real Estate,REIT - Mortgage,
ORC,,50,"Orchid Island Capital, Inc.",,Real Estate,REIT - Mortgage,
PMT,,50,PennyMac Mortgage Investment Trust,,Real Estate,REIT - Mortgage,
RC,,50,Ready Capital Corporation,,Real Estate,REIT - Mortgage,
REFI,,50,"Chicago Atlantic Real Estate Finance, Inc.",,Real Estate,REIT - Mortgage,
RWT,,50,"Redwood Trust, Inc.",,Real Estate,REIT - Mortgage,
SACH,,50,Sachem Capital Corp.,,Real Estate,REIT - Mortgage,
SEVN,,50,Seven Hills Realty Trust,,Real Estate,REIT - Mortgage,
STWD,,50,"Starwood Property Trust, Inc.",,Real Estate,REIT - Mortgage,
TRTX,,50,"TPG RE Finance Trust, Inc.",,Real Estate,REIT - Mortgage,
TWO,,50,Two Harbors Investment Corp.,,Real Estate,REIT - Mortgage,
WMC,,50,Western Asset Mortgage Capital Corporation,,Real Estate,REIT - Mortgage,
SYF,SP500,100,Synchrony Financial Corp., Retail Bank, Interest-base activity,Banking, USA 
COF,SP500,100,Capital One Fianncial, Retail Credit Cards, Interest-base activity,Banking, USA 
